char,count,id
，,685605,1
0,569585,2
1,529078,3
 ,460110,4
2,407112,5
5,358213,6
9,355889,7
用,331815,8
谢,290968,9
8,280621,10
户,278270,11
3,266348,12
7,223202,13
6,220648,14
请,191477,15
要,162230,16
协,152398,17
4,150551,18
理,145681,19
助,142540,20
号,135198,21
电,132418,22
有,123264,23
求,118529,24
费,113862,25
的,105428,26
示,99130,27
不,95416,28
来,90942,29
机,89080,30
表,86365,31
：,83812,32
是,80960,33
处,80061,34
烦,77642,35
在,68463,36
办,66242,37
码,65492,38
系,64887,39
联,60944,40
月,58881,41
-,58482,42
没,55572,43
。,55109,44
实,54642,45
！,53103,46
反,53083,47
信,52580,48
我,52084,49
人,51956,50
业,51890,51
元,50764,52
现,50711,53
带,49502,54
移,48914,55
知,48357,56
宽,48057,57
话,47350,58
已,47204,59
区,47123,60
核,45908,61
司,45875,62
自,45183,63
单,45050,64
地,44597,65
了,42691,66
告,42367,67
一,42300,68
查,41208,69
上,40995,70
门,40603,71
到,40341,72
个,40167,73
映,40105,74
员,40015,75
工,39686,76
餐,39223,77
套,38555,78
无,38323,79
时,37768,80
址,37256,81
前,36779,82
己,36659,83
"
",36437,84
对,35925,85
流,34553,86
接,34370,87
量,32625,88
其,32380,89
还,31030,90
同,31007,91
里,29784,92
作,29501,93
为,28855,94
诉,28350,95
F,28321,96
申,28303,97
安,28215,98
询,28133,99
通,27853,100
线,27582,101
厦,27528,102
路,27313,103
取,26954,104
天,26601,105
营,26196,106
务,25073,107
客,25022,108
装,24891,109
使,24886,110
受,24807,111
投,24675,112
",",24635,113
新,24263,114
但,24061,115
法,23889,116
厅,23776,117
:,23695,118
/,23440,119
本,22596,120
都,22387,121
下,22199,122
提,22195,123
包,22192,124
消,21974,125
过,21973,126
么,21776,127
后,21730,128
；,21523,129
解,20981,130
能,20851,131
经,20694,132
这,20620,133
卡,20343,134
收,20321,135
份,20156,136
生,20101,137
问,20070,138
.,19969,139
道,19714,140
发,19603,141
可,19515,142
明,19408,143
并,19159,144
D,19087,145
订,19059,146
退,18654,147
给,18379,148
议,18273,149
手,17794,150
改,17774,151
此,17298,152
和,17290,153
认,17209,154
以,17004,155
打,16893,156
题,16793,157
）,16790,158
|,16687,159
之,16661,160
网,16644,161
（,16511,162
就,16483,163
开,16381,164
欠,16338,165
看,16338,166
产,16170,167
称,16159,168
【,15976,169
释,15915,170
去,15908,171
街,15791,172
】,15704,173
湖,15442,174
J,15422,175
内,15390,176
急,15352,177
合,15319,178
加,15301,179
什,15284,180
免,15181,181
光,15163,182
固,15021,183
I,14829,184
短,14710,185
说,14702,186
(,14612,187
未,14457,188
次,14339,189
),14338,190
证,14293,191
清,14275,192
多,13940,193
G,13830,194
*,13684,195
年,13665,196
当,13396,197
T,13386,198
建,13381,199
息,13327,200
行,13235,201
会,13218,202
导,13031,203
更,12998,204
直,12936,205
名,12907,206
出,12889,207
中,12846,208
满,12835,209
高,12802,210
公,12761,211
也,12746,212
V,12502,213
异,12485,214
分,12467,215
思,12426,216
翼,12354,217
销,12293,218
否,12080,219
回,12074,220
福,12035,221
金,11929,222
账,11870,223
快,11507,224
需,11453,225
他,11406,226
购,11137,227
集,11120,228
美,11085,229
方,10805,230
尽,10765,231
复,10714,232
扣,10610,233
馈,10608,234
意,10533,235
常,10469,236
部,10345,237
M,10184,238
拆,10094,239
村,9998,240
限,9983,241
停,9972,242
海,9513,243
记,9500,244
该,9423,245
减,9393,246
缴,9384,247
资,9376,248
、,9341,249
